text,speaker,context,sarcasm,show
"Sheldon, if you were a robot, and I knew and you didn't...",HOWARD,False,False,BBT
"On the other hand, no arousal.",PERSON,True,False,BBT
None?,LEONARD,True,False,BBT
None.,PERSON,True,False,BBT
Thank you for your time.,LEONARD,True,False,BBT
Thank you.,PERSON,True,False,BBT
None at all?,LEONARD,True,False,BBT
"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",SHELDON,False,True,BBT
"Oh, good Lord.",SHELDON,True,True,BBT
"God, that's a good song.",LEONARD,True,True,BBT
No. The dark crescent-shaped patterns under your arms conceal it nicely.,SHELDON,False,True,BBT
How do I look?,LEONARD,True,True,BBT
Could you be more specific?,SHELDON,True,True,BBT
Can you tell I'm perspiring a little?,LEONARD,True,True,BBT
"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.",SHELDON,False,True,BBT
"You know, I am not going to enjoy this party.",SHELDON,True,True,BBT
"I know, I'm familiar with you.",LEONARD,True,True,BBT
"The last department party, Professor Finkleday cornered me and talked about spelunking for 45 minutes.",SHELDON,True,True,BBT
"Yes, I was there.",LEONARD,True,True,BBT
You know what's interesting about caves?,SHELDON,True,True,BBT
What?,LEONARD,True,True,BBT
Nothing.,SHELDON,True,True,BBT
"Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.",LEONARD,True,True,BBT
"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",LEONARD,False,True,BBT
"He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him.",PERSON,True,True,BBT
You're in?,PERSON,True,True,BBT
"Yeah, sure, why not?",LEONARD,True,True,BBT
"Great, we rehearse on Tuesdays at your place.",PERSON,True,True,BBT
Why at my place?,LEONARD,True,True,BBT
Department of Energy said our regular space is kind of a hot zone.,PERSON,True,True,BBT
Nice meeting you.,PERSON,True,True,BBT
"Yeah, you, too.
Leonard, I didn't know you played the cello.",PENNY,True,True,BBT
"Sure, cut the foreigner in half. There's a billion more where he came from.",RAJ,False,True,BBT
"And I cannot believe people pay for horoscopes, but on a more serious note, it's 8:13 and we're still not playing Halo.",SHELDON,True,True,BBT
Fine. We'll just play one-on-one until he gets back.,LEONARD,True,True,BBT
One-on-one? We don't play one-on-one.,SHELDON,True,True,BBT
"We play teams, not one-on-one.",SHELDON,True,True,BBT
One-on-one.,SHELDON,True,True,BBT
The only way we can play teams at this point is if we cut Raj in half.,LEONARD,True,True,BBT
"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",RAJ,False,False,BBT
Do you really need the Honorary Justice League of American membership card?,LEONARD,True,False,BBT
It's been in every wallet I've owned since I was five.,SHELDON,True,False,BBT
Why?,LEONARD,True,False,BBT
"It says, ""Keep this on your person at all times.""",SHELDON,True,False,BBT
It's right here under Batman's signature.,SHELDON,True,False,BBT
and this is Leonard and Sheldon's apartment.,RAJ,True,False,BBT
Guess whose parents just got broadband.,HOWARD,True,False,BBT
"Well, I'm sorry, too, but there's just no room for you in my wallet.",SHELDON,False,True,BBT
This is Dr. Sheldon Cooper.,SHELDON,True,True,BBT
"Yeah, I need to cancel my membership to the planetarium.",SHELDON,True,True,BBT
"I've got some feelers out. In the meantime, listen to this.",RAJ,False,False,BBT
"but it was between you and the Museum of Natural History, and frankly, you don't have dinosaurs.",SHELDON,True,False,BBT
"I'll miss you, too. Bye-bye.",SHELDON,True,False,BBT
"Okay, I know you're texting about me and I'd really like you to stop.",SHELDON,True,False,BBT
"Oh, dear, I am rightly and truly screwed.",RAJ,True,False,BBT
"Hey, I thought you were finding new friends.",LEONARD,True,False,BBT
That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,SHELDON,False,False,BBT
"When I was a little boy and got sick, which was most of the time, my mother would read it to me.",SHELDON,True,False,BBT
It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different.,SHELDON,True,False,BBT
"For some reason, I related to it quite strongly.",SHELDON,True,False,BBT
I know the reason.,PENNY,True,False,BBT
We all know the reason.,LEONARD,True,False,BBT
"Sheldon, what are you getting at?",LEONARD,True,False,BBT
Not to mention you'd have to power down on saturdays.,SHELDON,False,False,BBT
I'm with you. I just have to make sure if I'm a synthetic human I'd still be Jewish.,HOWARD,True,False,BBT
I promised my mother.,HOWARD,True,False,BBT
I suppose you could have your android penis circumcised.,RAJ,True,False,BBT
But that's something your rabbi would have to discuss with the manufacturer.,RAJ,True,False,BBT
"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",SHELDON,False,True,BBT
I promised my mother.,HOWARD,True,True,BBT
I suppose you could have your android penis circumcised.,RAJ,True,True,BBT
But that's something your rabbi would have to discuss with the manufacturer.,RAJ,True,True,BBT
Not to mention you'd have to power down on saturdays.,SHELDON,True,True,BBT
"Sheldon, why is this letter in the trash?",LEONARD,True,True,BBT
"Technically, yes. But, if you'll notice... It's reversible!",LEONARD,False,False,BBT
"Because it's not a costume, it's a flight suit.",LEONARD,True,False,BBT
"Ok, alright, moving on.",PENNY,True,False,BBT
"Oh, wow. A paisley shirt.",PENNY,True,False,BBT
It goes with my corduroy suit.,LEONARD,True,False,BBT
"If you mean it should end up in the same place, then I agree.",PENNY,True,False,BBT
Is this your only tie?,PENNY,True,False,BBT
Just the latest copy of Applied Particle Physics quarterly.,SHELDON,False,True,BBT
Hey Sheldon.,PENNY,True,True,BBT
Hello Penny.,SHELDON,True,True,BBT
Get anything good?,PENNY,True,True,BBT
"Oh, you know, that is so weird that yours came and mine didn't.",PENNY,False,True,BBT
Hey Sheldon.,PENNY,True,True,BBT
Hello Penny.,SHELDON,True,True,BBT
Get anything good?,PENNY,True,True,BBT
Just the latest copy of Applied Particle Physics quarterly.,SHELDON,True,True,BBT
Do you think Penny will come here and take care of us?,SHELDON,False,False,BBT
I want grilled cheese.,SHELDON,True,False,BBT
"- Now?! - No, after my tongue has swollen to the size of a brisket!",HOWARD,False,True,BBT
Take that!,LEONARD,True,True,BBT
What's the matter?,LEONARD,True,True,BBT
This granola bar has peanuts in it!,HOWARD,True,True,BBT
"Oh, my God. Why did you eat it?",LEONARD,True,True,BBT
I don't know. It was just there!,HOWARD,True,True,BBT
"If I had a gun there, would you have shot yourself?",LEONARD,True,True,BBT
Don't yell at me! I've got to go to the emergency room!,HOWARD,True,True,BBT
"What else? Sell it on eBay as ""slightly used.""",RAJ,False,False,BBT
Or maybe she just doesn't want to talk.,SHELDON,True,False,BBT
"Look, I found an iPod!",RAJ,True,False,BBT
It's smashed beyond repair. What are you gonna do with it?,HOWARD,True,False,BBT
"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",HOWARD,False,True,BBT
It's smashed beyond repair. What are you gonna do with it?,HOWARD,True,True,BBT
"What else? Sell it on eBay as ""slightly used.""",RAJ,True,True,BBT
"It was Penny's boyfriend's, they broke up.",LEONARD,True,True,BBT
"Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere.",HOWARD,True,True,BBT
I'm gonna go back and try talking to her again.,LEONARD,True,True,BBT
"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",SHELDON,False,True,BBT
Are you saying that you've been holding back?,HOWARD,True,True,BBT
Of course. Out of respect.,LEONARD,True,True,BBT
"So, how do you explain the ten years before Penny?",HOWARD,True,True,BBT
Who were you respecting then?,RAJ,True,True,BBT
"Well, I've dated plenty of women.",LEONARD,True,True,BBT
"There was Joyce Kim, Leslie Winkle",LEONARD,True,True,BBT
"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",SHELDON,False,True,BBT
Pastries such as bear claws?,SHELDON,True,True,BBT
"Yeah, sure.",PENNY,True,True,BBT
I don't like bear claws.,SHELDON,True,True,BBT
"Hey, Penny.",PERSON,True,True,BBT
Dumbass.,PERSON,True,True,BBT
Leslie Winkle.,SHELDON,True,True,BBT
"Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle?",SHELDON,True,True,BBT
"They have a lot in common. I mean, they're both scientists.",PENNY,True,True,BBT
I think tonight was a very good start.,LEONARD,False,False,BBT
"I'm sorry about all of Sheldon's interruptions.
He can be a bit of an eccentric.",LEONARD,True,False,BBT
"If by ""eccentric"" you mean passive-aggressive East Texas blowhole, I agree.",PERSON,True,False,BBT
"I'm sorry, I am not going back to the Renaissance fair.",SHELDON,False,False,BBT
That's enough.,PERSON1,True,False,BBT
Call me.,PERSON1,True,False,BBT
Right.,LEONARD,True,False,BBT
"Okay, good night.",PENNY,True,False,BBT
What?,PERSON2,True,False,BBT
Had a great time. Ciao.,PENNY,True,False,BBT
You were very clear. As was everyone else at the table.,SHELDON,False,False,BBT
"Leonard, this is Tom.",SHELDON,True,False,BBT
"Hi, Tom. Sheldon?",LEONARD,True,False,BBT
Didn't I explain to you about your little mistake in the cafeteria?,LEONARD,True,False,BBT
"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",HOWARD,False,True,BBT
"They're going to digitally add a supernova.
They say it's the perfect metaphor for my incandescent talent.",RAJ,True,True,BBT
"Right, a ball of hot, flaming gas that collapses upon itself.",SHELDON,True,True,BBT
"Excuse me. Oh, it's my assistant, Trevor.",RAJ,True,True,BBT
Go for Koothrappali.,RAJ,True,True,BBT
"Maybe when I publish it, I'll include an inhaler.",SHELDON,False,True,BBT
"Excuse me, Dr. Cooper. I'm Kathy O'Brien.",PERSON,True,True,BBT
"I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away.",PERSON,True,True,BBT
I don't know. It just died. I'm getting a bunch of static.,PENNY,False,False,BBT
"Hey, guys, I need to use your TV.",PENNY,True,False,BBT
What's wrong with your TV?,SHELDON,True,False,BBT
"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",HOWARD,False,True,BBT
Did I miss anything? Did they kick Giselle off?,LEONARD,True,True,BBT
"Not yet, but her underwater photo shoot was an embarrassment.",RAJ,True,True,BBT
The big deal is that nobody touches food on my plate.,SHELDON,False,False,BBT
Who touched my…,SHELDON,True,False,BBT
Penny! Penny did it.,HOWARD,True,False,BBT
Why would you do that?,SHELDON,True,False,BBT
"I don't know. I was hungry?
What's the big deal?",PENNY,True,False,BBT
On a dusty highway just outside Bakersfield. Where do you think? On Mars!,HOWARD,False,True,BBT
Will you at least stipulate that Star Trek IV: The Voyage Home is inarguably the best?,SHELDON,True,True,BBT
I have three words for you: Wrath of Khan.,RAJ,True,True,BBT
"Thank God, you're here.",HOWARD,True,True,BBT
What's the emergency?,LEONARD,True,True,BBT
I got the Mars Rover stuck in a ditch.,HOWARD,True,True,BBT
Where?,SHELDON,True,True,BBT
How nice. Maybe they can carpool when they visit you in federal prison.,SHELDON,False,True,BBT
So my friend Leonard is gonna take you home.,HOWARD,True,True,BBT
"Okay. Let's go, friend Leonard.",PERSON,True,True,BBT
I'll call ya.,HOWARD,True,True,BBT
So are you a scientist like Howard?,PERSON,True,True,BBT
No one's a scientist like Howard.,LEONARD,True,True,BBT
My mother is so gonna love her.,HOWARD,True,True,BBT
"What do you think I did? I discreetly slipped off the other earring, put it in my pocket and then got the hell out of there!",PERSON,False,False,BBT
"So, we're all standing around looking at the post-op X ray and there it is, clear as day, right in the guy's chest cavity...one of my earrings.",PERSON,True,False,BBT
"Oh, my God, what did you do?",LEONARD,True,False,BBT
The blunt instrument that will be the focus of my murder trial?,LEONARD,False,True,BBT
"What, Sheldon? What, Sheldon?! What, Sheldon?!",LEONARD,True,True,BBT
Tell me what you see here.,SHELDON,True,True,BBT
Would it work if I just punched you in the face?,LEONARD,False,False,BBT
"it will establish you as the ""alpha"" male.",SHELDON,True,False,BBT
"You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin.",SHELDON,True,False,BBT
"If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love.""",SHELDON,True,False,BBT
Huh,LEONARD,True,False,BBT
Answering the question once and for all why Wolowitz bailed out of medical school.,RAJ,False,False,BBT
Can you open this for me?,LEONARD,True,False,BBT
Can I see your stitches?,RAJ,True,False,BBT
Sure.,LEONARD,True,False,BBT
My aunt Marion gave them to me for my 12th birthday.,SHELDON,False,False,BBT
What are you doing here?,PERSON,True,False,BBT
Hang on. 130 over 80. It's a little high.,SHELDON,True,False,BBT
We can attribute that to the stress of sneaking past the security desk.,SHELDON,True,False,BBT
Where did you get the stethoscope and the blood pressure cuff?,PERSON,True,False,BBT
You were right. Your larynx is terribly inflamed. I've never seen anything like it.,PERSON,False,True,BBT
Oh no,PERSON,True,True,BBT
What?,SHELDON,True,True,BBT
"""Dave."" Sounds like Leonard's got a new BFF.",HOWARD,False,True,BBT
There are always do-overs when my people play sports.,HOWARD,True,True,BBT
Where were you that's more important than Wii bowling night?,SHELDON,True,True,BBT
Actually...,LEONARD,True,True,BBT
"It's rhetorical.
There is nothing more important than Wii bowling night.",SHELDON,True,True,BBT
"Come on, it's just a video game. And we suck at it.",LEONARD,True,True,BBT
Nice motivational speech from the team captain.,SHELDON,True,True,BBT
Where were you?,SHELDON,True,True,BBT
"If you don't like this stuff, let's go next door and build her a bear.",RAJ,False,True,BBT
You're kidding. You've got lotions and bath oils and soaps. That's the estrogen hat trick.,HOWARD,True,True,BBT
"What it is is a cacophonous assault of eucalyptus, bayberry, cinnamon and vanilla.",SHELDON,True,True,BBT
It's as if my head were trapped in the pajamas of a sultan.,SHELDON,True,True,BBT
"- Maybe I heard you wrong. A lot of words sound like ""yoga.""",LEONARD,False,True,BBT
"Leonard. Come, join us.",PERSON,True,True,BBT
"Hey, Dave.
And Penny, what a surprise.",LEONARD,True,True,BBT
Dave was just showing me around the university. This place is unbelievable!,PENNY,True,True,BBT
"I know, I've been offering to show you around for a year and a half. You always said you had yoga.",LEONARD,True,True,BBT
Why don't you just lie down on the floor and swim there?,LEONARD,False,True,BBT
Where are we going?,LEONARD,True,True,BBT
You're driving me to the mall.,SHELDON,True,True,BBT
I'm going to acquire a book that summarizes the current theories in the field of friend-making.,SHELDON,True,True,BBT
I hope I'm a waitress at the Cheesecake Factory for my whole life.,PENNY,False,True,BBT
Ask me why.,SHELDON,True,True,BBT
Do I have to?,LEONARD,True,True,BBT
Of course. That's how you move a conversation forward.,SHELDON,True,True,BBT
Why?,LEONARD,True,True,BBT
The learning opportunities would be abundant.,SHELDON,True,True,BBT
"Additionally, I like having my belly scratched.",SHELDON,True,True,BBT
"When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience.",PENNY,False,True,BBT
Hey.,LEONARD,True,True,BBT
Hey.,PENNY,True,True,BBT
"A little mood lighting, huh?",LEONARD,True,True,BBT
There's no hurry. Tell them more about their secret love for each other.,LEONARD,False,False,BBT
Say what?,HOWARD,True,False,BBT
That's basically what I just said.,HOWARD,True,False,BBT
You brought your husband to work. You know the rules.,LEONARD,True,False,BBT
"Mesa thinking yousa looking pretty sad now too, betcha, betcha.",LEONARD,True,False,BBT
"Leonard, it's 1:00. Weren't you going to show me your laboratory at 1:00?",PERSON,True,False,BBT
"Kind of makes you feel more alive, doesn't it?",PERSON,False,True,BBT
but wait to be captured or killed.,HOWARD,True,True,BBT
"That's the worst part, the waiting.",PERSON,True,True,BBT
All the while knowing that there's a paint pellet out there with your name on it.,HOWARD,True,True,BBT
The big wet ball of death.,PERSON,True,True,BBT
"Assuming I can keep up this pace, three hours, 11 minutes. Plus however long it takes to conclude this fairly pointless conversation.",SHELDON,False,True,BBT
"See, by attaching RFID tags to my clothing, it will enable my laptop to read and identify the items with this wand.",SHELDON,True,True,BBT
"I will then cross-reference them against destination, anticipated activity spectrum, weather conditions, duration of trip, et cetera.",SHELDON,True,True,BBT
That does sound much simpler.,LEONARD,True,True,BBT
How long is this going to take?,LEONARD,True,True,BBT
"Excuse me, but what about me? Why don't I get a shot?",LEONARD,False,False,BBT
"Unlike you, I can actually talk to women when I'm sober.",HOWARD,True,False,BBT
"You fail to take into account that even mute, I am foreign and exotic, while you, on the other hand, are frail and pasty.",RAJ,True,False,BBT
"You know the old saying, ""Pasty and frail never fail.""",HOWARD,True,False,BBT
"So? Do cocaine smugglers write ""cocaine"" on the box?",SHELDON,False,True,BBT
They're here.,SHELDON,True,True,BBT
Stay calm. We don't know anything about them yet.,LEONARD,True,True,BBT
What are you doing?,LEONARD,True,True,BBT
I'm checking for musical instruments.,SHELDON,True,True,BBT
Does that sound like castanets to you?,SHELDON,True,True,BBT
"The box says ""kitchen.""",LEONARD,True,True,BBT
Thank you so much for giving me the opportunity to help.,LEONARD,False,False,BBT
Thanks so much for helping me.,PERSON,True,False,BBT
You know this can go on all night. Why don't you just come with us?,LEONARD,False,False,BBT
Or pick out his career for him without knowing his aptitude. Or pick out a new breakfast cereal without knowing his fiber requirements.,SHELDON,True,False,BBT
Or his feelings about little marshmallows.,SHELDON,True,False,BBT
Spider-Man. Get him Spider-Man.,PENNY,True,False,BBT
"Amazing Spider-Man, Ultimate Spider-Man, Spectacular Spider-Man, The Marvelous Adventures of Spider-Man, Spider-Man 2099?",SHELDON,True,False,BBT
You know this can go on all night.,PENNY,True,False,BBT
Provided he has already read and is familiar with the reestablishment of the DC multiverse.,SHELDON,False,False,BBT
Everybody's staring at me.,PENNY,True,False,BBT
"Don't worry, they're more scared of you than you are of them.",LEONARD,True,False,BBT
Unlikely.,PENNY,True,False,BBT
"Here, what about this one for my nephew?",PENNY,True,False,BBT
A superb choice.,SHELDON,True,False,BBT
"Oh, great.",PENNY,True,False,BBT
"You think ""coffee,"" means coffee. That is so sweet.",PENNY,False,True,BBT
Come on. I think it's nice that Captain Sweatpants showed up to your art opening.,PENNY,True,True,BBT
"Yeah, it would have been nicer if he hadn't touched all the cheese.",PERSON,True,True,BBT
"You know, it's kind of early.
Do you want to maybe come in for some coffee?",PENNY,True,True,BBT
"Gee, it's a little late for coffee, isn't it?",PERSON,True,True,BBT
"You don't really believe in that superstition, do you?",SHELDON,False,False,BBT
This thing has to hold up against a hearty potato-based diet.,HOWARD,True,False,BBT
I feel terrible,LEONARD,True,False,BBT
"Maybe if you were helping, you'd feel better about yourself.",HOWARD,True,False,BBT
I deliberately tried to sabotage Stuart's date with Penny.,LEONARD,True,False,BBT
Of course you feel terrible. You completely screwed up your karma.,RAJ,True,False,BBT
"Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?",HOWARD,False,True,BBT
"It's actually a very elegant system. You know, what goes around comes around.",RAJ,True,True,BBT
Speaking of what goes around comes around...,HOWARD,True,True,BBT
"Okay, look. Instead of trying to reinforce this structure here, what if we just ran another line, bypass it entirely?",RAJ,True,True,BBT
It won't work. The diameter of the tubing is insufficient.,SHELDON,True,True,BBT
What if we reposition the collection tank?,RAJ,True,True,BBT
It won't work. No way to mount it.,SHELDON,True,True,BBT
Hardly a day goes by when I don't think about it.,LEONARD,False,True,BBT
You went to President Seibert's house in the middle of the night?,LEONARD,True,True,BBT
"He didn't respond to my e-mail, his phone number is unlisted. Tell me what my other option was.",SHELDON,True,True,BBT
You could have waited until morning.,LEONARD,True,True,BBT
"I know, look who I'm talking to.",LEONARD,True,True,BBT
Do you remember the grant proposal I submitted to the National Science Foundation to detect slow-moving monopoles at the magnetic North Pole?,SHELDON,True,True,BBT
"Sure, maybe a tableau of me trying to pummel you to death.",LEONARD,False,True,BBT
"Of course not. I'm a theoretical physicist.
A career I chose in no small part because it's indoors, but if I'm able to detect slow-moving magnetic monopoles there, I will be the scientis to confirm string theory.",SHELDON,True,True,BBT
People will write books about me.,SHELDON,True,True,BBT
Third-graders will create macaroni-art dioramas depicting scenes from my life.,SHELDON,True,True,BBT
"Terrific, it's just that... I don't think Penny wants me to go.",LEONARD,False,False,BBT
I don't think I can go to the North Pole.,LEONARD,True,False,BBT
I know you're concerned about disappointing me but I want you to take comfort from the knowledge that my expectations of you are very low.,SHELDON,True,False,BBT
"Yeah, that's very comforting.",LEONARD,True,False,BBT
"Comforting is a part of leadership.
It's not a part I care for, but such is my burden.",SHELDON,True,False,BBT
What did you mean when you said you were going to miss me?,LEONARD,False,False,BBT
What time is it?,PENNY,True,False,BBT
"It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you.",LEONARD,True,False,BBT
"Ooh, big talk from a man who was once treed by a chicken.",RAJ,False,True,BBT
"Don't push me, Sheldon.
I may be small, but I took kung fu when I was 13, and I remember a good deal of it.",HOWARD,True,True,BBT
"Oh, really?",SHELDON,True,True,BBT
"Well, I grew up with an older brother and a very contentious twin sister.",SHELDON,True,True,BBT
"And I believe I could easily best you in any physical confrontation-- be it noogies, swirlies or the classic ""Why are you hitting yourself?""",SHELDON,True,True,BBT
"No, I mean, we can always go back to being friends.",PENNY,False,False,BBT
like Mrs. Riley' s chicken.,SHELDON,True,False,BBT
What's Mrs. Riley's chicken?,PENNY,True,False,BBT
A chicken that was owned by Mrs. Riley.,SHELDON,True,False,BBT
"Okay, forget the chicken.",PENNY,True,False,BBT
"Well, I wish I could.",SHELDON,True,False,BBT
"No, no. You may be right about me and Leonard.",PENNY,True,False,BBT
Of course I'm right What are the odds I'd be wrong twice in one week?,SHELDON,True,False,BBT
It's an iCal download. She can put it right in her phone.,SHELDON,False,True,BBT
"Alright, want some French toast?",PENNY,True,True,BBT
It's oatmeal day.,SHELDON,True,True,BBT
"Tell you what, next French toast day, I'll make you oatmeal.",PENNY,True,True,BBT
"Dear Lord, are you still going to be here on French toast day?",SHELDON,True,True,BBT
Morning.,LEONARD,True,True,BBT
"Look, Leonard, Penny made French toast.",SHELDON,True,True,BBT
"Sorry, I haven't given her your schedule yet.",LEONARD,True,True,BBT
"You know, I've always wanted to go to a Goth nightclub.",SHELDON,False,True,BBT
"Howard, what did you do?",LEONARD,True,True,BBT
They're called tattoo sleeves. Look.,HOWARD,True,True,BBT
"I got them online. Raj got a set, too.",HOWARD,True,True,BBT
"Fantastic, right?",HOWARD,True,True,BBT
"Put them on, have hot sex with some freaky girl with her business pierced, take them off, and I can still be buried in a Jewish cemetery.",HOWARD,True,True,BBT
"No, I'm behind on my Wiki-reading. I'm kind of on a John Grisham kick right now.",RAJ,False,False,BBT
I think we're fitting in quite nicely.,RAJ,True,False,BBT
It'd help if you weren't drinking light beer.,HOWARD,True,False,BBT
What's so gothic about vodka and cranberry juice?,RAJ,True,False,BBT
Hello? It looks like blood.,HOWARD,True,False,BBT
"Did you even read the ""Wiki how"" link I sent you on being Goth?",HOWARD,True,False,BBT
"- Chocolate? - No, I don't want any chocolate!",LEONARD,False,False,BBT
You'll never guess who they got to replace you at work.,LEONARD,True,False,BBT
"Okay, I know what you're doing.",SHELDON,True,False,BBT
Really?,LEONARD,True,False,BBT
"Yes, you're using chocolates as positive reinforcement for what you consider correct behaviour.
Very Good.",SHELDON,True,False,BBT
"Oh, you know, Goth stuff. Goth magazines, Goth music.",HOWARD,False,False,BBT
"So, what do you guys do?",PERSON,True,False,BBT
"Obviously, waitressing at The Cheese Cake Factory is a complex socio-economic activity that requires a great deal of analysis and planning.",SHELDON,False,True,BBT
"My God, she didn't!",PENNY,True,True,BBT
What could she possibly be talking about for so long?,LEONARD,True,True,BBT
When I have enough to destroy all the human toast on the Battlestar known as Galactica.,SHELDON,False,True,BBT
When are you going to stop making Cylon toast?,LEONARD,True,True,BBT
Seems like an awful lot of trouble to go through for intercourse.,SHELDON,False,False,BBT
Am I correct in assuming that your attempt to be accepted by Penny's peers is based on your desire to ensure your continuing mating privileges with her?,SHELDON,True,False,BBT
"Well, I wouldn't put it exactly that way.",LEONARD,True,False,BBT
How would you put it?,SHELDON,True,False,BBT
"Yeah, okay, like you said.",LEONARD,True,False,BBT
"But if she dumps you, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one.",HOWARD,False,True,BBT
Let me ask you something.,LEONARD,True,True,BBT
Do you think it's okay for Penny to have an ex-boyfriend sleep on her couch?,LEONARD,True,True,BBT
"No, I mean, she's obviously way out of line.",HOWARD,True,True,BBT
Thank you!,LEONARD,True,True,BBT
"Not a great movie, but look at that beautiful desert.",RAJ,False,False,BBT
We did it. We have the west coast feed of hbo.,RAJ,True,False,BBT
"Ooh,real sex.",HOWARD,True,False,BBT
"Big deal. Every time I watch that show, it's old women putting condoms on cucumbers.",RAJ,True,False,BBT
"All right,let's see what's on the east coast feed.",LEONARD,True,False,BBT
Dune.,RAJ,True,False,BBT
Right. That was so good! Sweety and meaty at the same time.,RAJ,False,False,BBT
Anything?,HOWARD,True,False,BBT
No. that was the last pudding cup.,LEONARD,True,False,BBT
No! What about slim jims,HOWARD,True,False,BBT
"Thats what he used to eat his pudding, remember?",LEONARD,True,False,BBT
"I'm sorry, fiddling with yourself in the bathtub is a real class act.",PERSON,False,True,BBT
So nice you could join me this evening.,HOWARD,True,True,BBT
You're looking lovely as always.,HOWARD,True,True,BBT
"Thanks, Howard.  Always nice to be part of your masturbatory fantasies.",PERSON,True,True,BBT
"Come on, Katee. Don't make it sound so cheap.",HOWARD,True,True,BBT
"No, I mean Princess Leia. Of course I mean Bernadette. She's a wonderful girl and she really likes you.",PERSON,False,True,BBT
Thank you.,HOWARD,True,True,BBT
"So, shall we get started?",HOWARD,True,True,BBT
"Sure.
But can I ask you a question first?",PERSON,True,True,BBT
Do you want to play Cylon and colonist?,HOWARD,True,True,BBT
I want to know why you're playing make-believe with me when you could be out with a real woman tonight.,PERSON,True,True,BBT
